"year","common_name","sci_name","count"
"1993","hawk sp.","Accipitridae sp.",NA
"1994","hawk sp.","Accipitridae sp.",NA
"1995","hawk sp.","Accipitridae sp.",NA
"1996","hawk sp.","Accipitridae sp.",NA
"1997","hawk sp.","Accipitridae sp.",NA
"1998","hawk sp.","Accipitridae sp.",NA
"1999","hawk sp.","Accipitridae sp.",NA
"2000","hawk sp.","Accipitridae sp.",NA
"2001","hawk sp.","Accipitridae sp.",NA
"2002","hawk sp.","Accipitridae sp.",NA
"2003","hawk sp.","Accipitridae sp.",NA
"2004","hawk sp.","Accipitridae sp.",NA
"2005","hawk sp.","Accipitridae sp.",NA
"2006","hawk sp.","Accipitridae sp.",NA
"2007","hawk sp.","Accipitridae sp.",NA
"2008","hawk sp.","Accipitridae sp.",NA
"2009","hawk sp.","Accipitridae sp.",NA
"2010","hawk sp.","Accipitridae sp.",NA
"2011","hawk sp.","Accipitridae sp.",NA
"2012","hawk sp.","Accipitridae sp.",NA
"2013","hawk sp.","Accipitridae sp.",NA
"2014","hawk sp.","Accipitridae sp.",NA
"2015","hawk sp.","Accipitridae sp.",NA
"2016","hawk sp.","Accipitridae sp.",NA
"2017","hawk sp.","Accipitridae sp.",NA
"2018","hawk sp.","Accipitridae sp.",NA
"2019","hawk sp.","Accipitridae sp.",NA
"2020","hawk sp.","Accipitridae sp.",NA
"2021","hawk sp.","Accipitridae sp.",NA
"2022","hawk sp.","Accipitridae sp.",NA
"2023","hawk sp.","Accipitridae sp.",NA
"2024","hawk sp.","Accipitridae sp.",NA
"1923","Spotted Sandpiper","Actitis macularius",NA
"1928","Spotted Sandpiper","Actitis macularius",NA
"1929","Spotted Sandpiper","Actitis macularius",NA
"1930","Spotted Sandpiper","Actitis macularius",NA
"1931","Spotted Sandpiper","Actitis macularius",NA
"1932","Spotted Sandpiper","Actitis macularius",NA
"1933","Spotted Sandpiper","Actitis macularius",NA
"1934","Spotted Sandpiper","Actitis macularius",NA
"1935","Spotted Sandpiper","Actitis macularius",NA
"1936","Spotted Sandpiper","Actitis macularius",NA
"1937","Spotted Sandpiper","Actitis macularius",NA
"1938","Spotted Sandpiper","Actitis macularius",NA
"1940","Spotted Sandpiper","Actitis macularius",NA
"1941","Spotted Sandpiper","Actitis macularius",NA
"1943","Spotted Sandpiper","Actitis macularius",NA
"1944","Spotted Sandpiper","Actitis macularius",NA
"1945","Spotted Sandpiper","Actitis macularius",NA
"1946","Spotted Sandpiper","Actitis macularius",NA
"1947","Spotted Sandpiper","Actitis macularius",NA
"1948","Spotted Sandpiper","Actitis macularius",NA
"1950","Spotted Sandpiper","Actitis macularius",NA
"1951","Spotted Sandpiper","Actitis macularius",NA
"1952","Spotted Sandpiper","Actitis macularius",NA
"1953","Spotted Sandpiper","Actitis macularius",NA
"1954","Spotted Sandpiper","Actitis macularius",NA
"1956","Spotted Sandpiper","Actitis macularius",NA
"1957","Spotted Sandpiper","Actitis macularius",NA
"1958","Spotted Sandpiper","Actitis macularius",NA
"1959","Spotted Sandpiper","Actitis macularius",NA
"1960","Spotted Sandpiper","Actitis macularius",1
"1961","Spotted Sandpiper","Actitis macularius",NA
"1962","Spotted Sandpiper","Actitis macularius",NA
"1963","Spotted Sandpiper","Actitis macularius",NA
"1964","Spotted Sandpiper","Actitis macularius",NA
"1965","Spotted Sandpiper","Actitis macularius",NA
"1966","Spotted Sandpiper","Actitis macularius",NA
"1967","Spotted Sandpiper","Actitis macularius",NA
"1968","Spotted Sandpiper","Actitis macularius",NA
"1969","Spotted Sandpiper","Actitis macularius",NA
"1970","Spotted Sandpiper","Actitis macularius",NA
"1971","Spotted Sandpiper","Actitis macularius",NA
"1972","Spotted Sandpiper","Actitis macularius",NA
"1973","Spotted Sandpiper","Actitis macularius",NA
"1974","Spotted Sandpiper","Actitis macularius",NA
"1975","Spotted Sandpiper","Actitis macularius",NA
"1976","Spotted Sandpiper","Actitis macularius",NA
"1977","Spotted Sandpiper","Actitis macularius",NA
"1978","Spotted Sandpiper","Actitis macularius",NA
"1979","Spotted Sandpiper","Actitis macularius",NA
"1980","Spotted Sandpiper","Actitis macularius",NA
"1981","Spotted Sandpiper","Actitis macularius",NA
"1982","Spotted Sandpiper","Actitis macularius",NA
"1983","Spotted Sandpiper","Actitis macularius",NA
"1984","Spotted Sandpiper","Actitis macularius",NA
"1985","Spotted Sandpiper","Actitis macularius",NA
"1986","Spotted Sandpiper","Actitis macularius",NA
"1987","Spotted Sandpiper","Actitis macularius",NA
"1988","Spotted Sandpiper","Actitis macularius",NA
"1989","Spotted Sandpiper","Actitis macularius",NA
"1990","Spotted Sandpiper","Actitis macularius",NA
"1991","Spotted Sandpiper","Actitis macularius",NA
"1992","Spotted Sandpiper","Actitis macularius",NA
"1993","Spotted Sandpiper","Actitis macularius",NA
"1994","Spotted Sandpiper","Actitis macularius",NA
"1995","Spotted Sandpiper","Actitis macularius",NA
"1996","Spotted Sandpiper","Actitis macularius",NA
"1997","Spotted Sandpiper","Actitis macularius",NA
"1998","Spotted Sandpiper","Actitis macularius",NA
"1999","Spotted Sandpiper","Actitis macularius",NA
"2000","Spotted Sandpiper","Actitis macularius",NA
"2001","Spotted Sandpiper","Actitis macularius",NA
"2002","Spotted Sandpiper","Actitis macularius",NA
"2003","Spotted Sandpiper","Actitis macularius",NA
